0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:15:57 +0530] "GET /blabby/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:15:57 +0530] "GET /blabby/images/blu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:15:57 +0530] "GET /blabby/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:16:22 +0530] "GET /blabby/images/tick.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:29:26 +0530] "POST /blabby/signin.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:29:26 +0530] "GET /blabby/css/styless.css HTTP/1.1" 200 11580
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:29:26 +0530] "GET /blabby/js/jquery.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:30:51 +0530] "POST /blabby/signin.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:30:51 +0530] "GET /blabby/css/styless.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:30:52 +0530] "GET /blabby/js/jquery.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:32:03 +0530] "GET /blabby/images/tick.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:39:26 +0530] "GET /blabby/css/styless.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:39:26 +0530] "GET /blabby/js/jquery.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:34 +0530] "GET /blabby/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:34 +0530] "GET /blabby/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:34 +0530] "GET /blabby/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:34 +0530] "GET /blabby/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:34 +0530] "GET /blabby/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:48 +0530] "GET /blabby/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:48 +0530] "GET /blabby/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:48 +0530] "GET /blabby/images/social-icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:17:54:48 +0530] "GET /blabby/images/banners.jpg HTTP/1.1" 304 -
